sheet,group,rank,term,this_group,others_avg,diff
distinctive,child/children,1,aces,0.23244,0.01312,0.21931
distinctive,child/children,2,csa,0.17974,0.00524,0.1745
distinctive,child/children,3,children rights,0.18203,0.00871,0.17332
distinctive,child/children,4,child protection,0.17171,0.01433,0.15738
distinctive,child/children,5,child abuse,0.1185,0.00724,0.11126
distinctive,child/children,6,rights child,0.11125,0.01093,0.10032
distinctive,child/children,7,child marriage,0.10064,0.00126,0.09938
distinctive,child/children,8,crc,0.10131,0.00212,0.09919
distinctive,child/children,9,child sexual,0.11125,0.01251,0.09874
distinctive,child/children,10,maltreatment,0.11202,0.01845,0.09356
distinctive,child/children,11,child welfare,0.10784,0.02428,0.08357
distinctive,child/children,12,early childhood,0.08824,0.00638,0.08185
distinctive,child/children,13,violence,0.16203,0.08035,0.08168
distinctive,child/children,14,methamphetamine,0.08129,0.00086,0.08043
distinctive,child/children,15,adversity,0.08129,0.00258,0.07871
distinctive,child/children,16,convention rights,0.08706,0.00838,0.07868
distinctive,child/children,17,marriage,0.11482,0.03785,0.07697
distinctive,child/children,18,childhood experiences,0.07981,0.00502,0.07479
distinctive,child/children,19,poverty,0.0719,0.00379,0.0681
distinctive,child/children,20,csec,0.06967,0.00297,0.06671
distinctive,youth,1,police,0.29539,0.06432,0.23107
distinctive,youth,2,young adults,0.21772,0.00386,0.21386
distinctive,youth,3,youth justice,0.19901,0.01596,0.18305
distinctive,youth,4,young adult,0.15966,0.00171,0.15795
distinctive,youth,5,children young,0.14878,0.00821,0.14057
distinctive,youth,6,diversion,0.1306,0.00587,0.12473
distinctive,youth,7,suicide,0.10741,0.01671,0.0907
distinctive,youth,8,child welfare,0.10886,0.02407,0.08479
distinctive,youth,9,justice systems,0.09435,0.01047,0.08388
distinctive,youth,10,cigarette,0.08346,0.00651,0.07695
distinctive,youth,11,wales,0.0762,0.00408,0.07212
distinctive,youth,12,risk youth,0.06877,0.00125,0.06752
distinctive,youth,13,perceptions,0.07788,0.01079,0.06709
distinctive,youth,14,legal cynicism,0.07307,0.00751,0.06555
distinctive,youth,15,cynicism,0.07307,0.00751,0.06555
distinctive,youth,16,youth offenders,0.06841,0.00478,0.06363
distinctive,youth,17,firearm,0.09018,0.02898,0.0612
distinctive,youth,18,youth youth,0.06017,0.00077,0.0594
distinctive,youth,19,harm,0.08056,0.02234,0.05822
distinctive,youth,20,eviction,0.06017,0.00387,0.0563
distinctive,adolescent,1,consent,0.27383,0.04718,0.22666
